Item,Type,Target,Description
Vial of Venom,Lesser,Self Units,All melee units inflict poison damage.
Voodoo Doll,Lesser,Enemy,Target enemy loses some turns.
Wine of Three Whips,Lesser,Self,Increases population by 10%.
Altar of Blood,Unique,Self Permanent,Increases mana income by 5k per turn while decreasing pop by 5k per turn.
Ancient Staff of Pure Quartz,Unique,Self Permanent Battle,Reduces casting cost by 20 percent; increases attack power and summoning by 5 percent.
Ancient Tome,Unique,Self One Use,Instantly research current spell. Recommend on Ultimates or Armageddon spells.
Apparatus,Unique,Self Permanent Summon,Summons 100 Hellhounds
Archmage Strategy Guide,Unique,Self One Use,Decreases casting cost by 10% and reduces chance of spell failure.
Atomic Bomb,Unique,Enemy One Use,Destroys 25% of target's mana
Basin of Far Seeing,Unique,Self Permanent,Grants the owner unlimited scryes.
Black Ankh,Unique,Self Permanent,Increases black units' resistance to holy by 50% while weakening white units.
Blue Ice,Unique,Self Permanent,Reduces all units attack power by 30% while increases ice attacks by 50% at a cost of 5k mana.
Burning Incense,Unique,Self Permanent,Decreases the casting cost of spells by 10% with a decreased chance of failure.
Chaos Ward,Unique,Self Permanent,Reduces Eradication damage.
Crimson Banner,Unique,Self Permanent Battle,Increases units' attack power.
Dead Sea Scroll,Unique,Self One Use White,"When used by a white mage, have a chance to learn the white ancient spell."
Dragon Slayer,Unique,Self One Use,10% increase in Attack Power.
Efreeti Bottle,Unique,Self One Use,Grants 2 heroes
Egg of Time,Unique,Self One Use,Grants 25 to 50 Turns.
Excaliber,Unique,Self Permanent,Increases units' attack power by 15%.
Hand of Negation,Unique,Self Permanent,Dispells all enchantments on target reguardless of barriers. Can only be used once every 200 turns.
Hell Fire,Unique,Self Permanent,Gives you resistance to fire
Helm of ESP,Unique,Self Permanent,Believed to increase psychic attacks by 50%.
Holy Grail,Unique,Self Permanent Temporary.,There is a debate over how many of the 5 Holy Grails are real. The real one(s) are believed to resurrect 15% of slain units and grants some bonus to Knights. Fakes usually disappear when the Holy Grail is used by someone else.
Iron Golem,Unique,Self Permanent,Summons the Master of Golems to tend your land. You earn 3 acres of farm per turn at a cost of 5k mp per turn.
Lipstick of Enslavement,Unique,Self One Use,With luck
Lucky Charm,Unique,Self Permanent,Owner is blessy by Lady Luck permanently. +10% resistance to all colors and increased casting success
Magic Mirror,Unique,Self One Use,Summons two female heroines with an upkeep of 5k for the mirror. Use it fast.
Mirror of the Grey Witch,Unique,Self Permanent,Reflects 33% of spells cast on you back to the caster at a cost of 5k mp per turn. Believed to force top stacks to attack it's own army a third of the time.
Nether Parchment,Unique,Self One Use Black,"When used by a black mage, have a chance to learn the black ancient spell."
Orb of Protection,Unique,Self One Use,Covers your country in a forcefield blocking out all spells and attacks for 24 hours.
Pan's Flute,Unique,Self Permanent,Decreases enemy initiative by 10%. Good combo with Fog Cloud or Satchel of Mist.
Pouch of Infinite Wealth,Unique,Self Permanent,Double gold income per turn.
Ring of Amethyst,Unique,Self Permanent,Reduces research time in half.
Ring of Djinni Summoning,Unique,Self One Use,Casts Wish 6 times and grants owner Efreeti Bottle.
Sceptre of Rulership,Unique,Self Permanent,Believed to Increases your units' hp by 10% on 30% of all battles.
Scroll of Insight,Unique,Self One Use Blue,"When used by a blue mage, have a chance to learn the blue ancient spell."
Skull Ring,Unique,Self Permanent,Believed to increase your mana by 10% while reducing your pop by 1%.
Sinner,Unique,Self Permanent,Increases resistance to magic while decreasing your ability to use it each time.
Soul Eater,Unique,Self Permanent,Believed to reduce your army's hp by 5% for undead and 20% for the rest while granting random percent increase to fire
St. Nara's Lock of Hair,Unique,Self Permanent Battle,Bestows Holy Word and Protection from Undead on owner. (10% resistance to all colors.)
Staff of the Archmage,Unique,Self Permanent,Inflicts lightning
Spectacles of True Seeing,Unique,Self Permanent Battle,Owner gains 75% resistance to blue.
Thor's Hammer,Unique,Self Permanent,Said to reduce target army's attack power by 25% and hp by 50%.
Thunder Blade,Unique,Self Permanent,Adds lightning to units' attacks (+50% for Air Elem.) while adding or increasing resistance to lightning.
Wand of Moon,Unique,Self Permanent,Inflicts lightning
Wings of Glory,Unique,Self Permanent,Increases the attack power of Angelsy by 15% for white mages and 10% for non-whites.
World Peace,Unique,Self Permanent,Gain 40% more gold per turn
Scroll of Timewarp,Archaic,Self One Use,Grants user 25 turns.
Hourglass of Time,Archaic,Self One Use,Unknown
Sundial of Timekeeping,Archaic,Self One Use,Unknown
Gold Watch,Archaic,Self One Use,Unknown
Sun Stone,Archaic,Permanent,Unknown
Moon Stone,Archaic,Permanent,Unknown
Satanic Symbol,Archaic,Permanent,Unknown
Black and White Feather,Archaic,Permanent,Unknown
Leaf of the World Tree,Archaic,Permanent,Unknown
Eden Garden Creation Kit,Archaic,Permanent,Unknown
Silver Pentacle Pendant,Archaic,Permanent,Unknown
Minor Indulgence,Special,Self One Use,Dispells any and all spells cast upon you including spells from gods. (Will not help on Mercy's Spells.)
